"match_map_id","player_id","total_kills","total_deaths","total_assists","kill_death_ratio","total_score","damage_dealt","highest_streak","untraded_deaths","traded_deaths","untraded_kills","traded_kills","tacticals_used","lethals_used","dead_silence_time","friendly_damage","distance_traveled","average_speed","control_tiers_captured","first_blood_kills","bombs_planted","bombs_defused","sneak_defuses","aces","hp_hill_time","hp_hill_time_contested","rotation_kills"
19539,223,30,26,2,1.15,3425,3847,4,20,6,24,6,10,13,96,1,76392.42969,185.8899841,3,0,,,,0,,,0
19539,227,11,25,5,0.44,1325,1537,2,19,6,8,3,2,4,0,0,85003.79688,205.3018646,0,1,,,,0,,,0
19539,430,27,31,7,0.87,3350,3991,4,25,6,14,13,9,11,102,0,84780.90625,207.5983276,4,1,,,,0,,,0
19540,54,28,23,7,1.22,3820,3785,4,15,9,19,9,17,16,0,105,59680.65234,164.4468231,,0,,,,0,47,1,7
19540,223,30,27,10,1.11,4870,3157,5,18,9,22,8,14,18,109,1,65877.50781,180.2899017,,0,,,,0,52,5,5
19540,227,30,17,7,1.76,5670,2934,4,9,8,23,7,3,10,0,60,57068.91406,152.0532074,,0,,,,0,138,2,6
19540,430,25,28,13,0.89,4390,3196,4,18,10,19,6,9,14,104,1,66234.875,200.0015259,,0,,,,0,55,1,5
19537,66,22,24,7,0.92,4850,2545,5,19,5,14,8,12,8,0,45,56302.07813,174.9159851,,1,,,,0,140,15,5
19537,225,24,21,4,1.14,4095,2439,3,15,6,16,8,13,9,0,100,57338.94531,174.8170166,,0,,,,0,72,9,3
19537,268,25,22,10,1.14,4025,3315,4,16,6,19,6,12,14,65,0,56623.125,182.5430603,,0,,,,0,50,2,3
19537,425,20,29,11,0.69,2655,3177,5,17,12,14,6,9,4,76,1,64611.23438,212.6080475,,0,,,,0,13,3,7
19538,66,3,9,2,0.33,375,639,2,6,3,2,0,6,7,50,4,26137.19336,55.64292145,,0,1,0,0,0,,,0
19538,225,6,9,1,0.67,775,923,4,8,0,5,0,10,7,23,40,35756.60938,75.99015045,,2,2,0,0,1,,,0
19538,268,6,10,1,0.6,600,921,1,4,3,3,3,10,4,30,13,30853.07227,64.03181458,,1,0,0,0,0,,,0
19538,425,11,6,2,1.83,975,1258,6,2,3,8,1,6,5,38,0,38490.36328,79.19211578,,4,0,0,0,1,,,0
19539,66,25,19,3,1.32,3025,2853,4,14,5,23,2,12,11,0,69,68876.88281,160.6861572,5,0,,,,0,,,0
19539,225,28,21,4,1.33,3075,3438,7,17,4,23,5,15,12,53,2,76624.21094,188.5312042,6,1,,,,0,,,0
19539,268,21,25,9,0.84,2650,3095,3,17,8,17,4,15,16,99,85,70538.39844,174.8386383,2,1,,,,0,,,0
19539,425,26,28,7,0.93,3125,3066,4,20,7,17,9,10,10,123,0,85140.48438,210.5235596,5,0,,,,0,,,0
19540,66,15,31,8,0.48,3015,1925,2,21,10,6,9,7,10,0,72,50690.375,156.9185028,,0,,,,0,54,3,1
19540,225,27,22,6,1.23,4500,3055,3,17,5,18,9,9,12,0,0,52676.94531,162.6008301,,0,,,,0,90,2,6
19540,268,28,32,5,0.88,3390,3064,4,26,6,18,10,12,13,42,86,53571.19141,174.6244049,,1,,,,0,14,1,7
19540,425,25,28,13,0.89,4400,3665,5,19,9,18,8,5,9,138,1,63978.86328,186.7106781,,0,,,,0,20,2,7
19572,44,14,17,2,0.82,2135,1774,2,14,3,10,4,6,6,71,3,45633.19141,211.4099121,,0,,,,0,16,3,5
19572,61,8,17,5,0.47,1625,1323,3,12,5,5,3,6,4,0,30,42691.57813,192.5139771,,0,,,,0,25,3,1
19572,361,12,19,5,0.63,2235,1525,3,16,3,5,7,10,6,52,0,42207.86328,215.8307495,,0,,,,0,31,2,2
19572,426,9,20,6,0.45,1370,1149,2,13,7,5,4,3,3,0,0,41400.27344,194.0681,,0,,,,0,7,4,2
19573,44,7,8,2,0.88,925,1012,2,7,1,5,1,5,8,31,0,39169.74219,71.87287903,,3,2,0,0,0,,,0
19573,61,11,3,1,3.67,1100,1493,10,2,1,9,0,8,10,0,1,42317.24219,86.00326538,,2,0,1,0,0,,,0
19573,361,8,5,1,1.6,950,847,4,3,0,6,1,10,10,41,0,38611.60547,78.90618896,,0,0,1,0,0,,,0
19573,426,6,7,3,0.86,550,906,4,4,2,4,0,9,8,9,0,39494.6875,77.44116974,,1,0,0,0,0,,,0
19574,44,33,33,13,1,4225,4027,4,26,7,19,14,18,21,246,0,105513.8125,223.2982178,3,2,,,,0,,,0
19574,61,25,17,7,1.47,3200,2838,6,10,7,20,5,6,16,0,79,74625.33594,150.9954681,2,0,,,,0,,,0
19574,361,32,23,5,1.39,3825,3249,5,16,7,26,6,16,13,165,0,76632.65625,165.3802185,7,0,,,,0,,,0
19574,426,20,27,7,0.74,2750,2920,4,21,6,15,5,11,15,12,20,81608.35938,172.907196,7,1,,,,0,,,0
19575,44,26,25,6,1.04,3610,2803,6,18,7,19,7,20,20,63,0,73791.875,219.3223877,,0,,,,0,31,3,3
19575,61,19,20,5,0.95,3785,2272,4,13,7,14,5,14,15,0,0,57173.72266,174.5148163,,0,,,,0,101,3,1
19575,361,20,23,7,0.87,3070,2523,5,17,6,17,3,19,15,106,76,56752.34375,189.1428375,,0,,,,0,37,6,6
19575,426,22,18,8,1.22,3975,2550,3,10,8,15,7,11,14,0,1,57945.96875,179.7371826,,0,,,,0,85,5,6
19572,66,13,8,3,1.63,3765,1248,5,3,5,11,2,6,6,0,0,30596.94141,125.4785767,,0,,,,0,180,8,4
19572,225,18,15,7,1.2,3345,2191,5,9,6,12,6,12,6,0,0,37686.60547,171.0976105,,1,,,,0,57,3,0
19572,268,14,10,9,1.4,2485,1715,4,4,6,12,2,7,9,56,0,38712.51953,170.377533,,0,,,,0,37,2,2
19572,425,28,10,1,2.8,3780,2918,6,9,1,20,8,5,2,77,0,36308.76172,180.6739502,,0,,,,0,23,1,4
19573,66,7,8,1,0.88,675,1037,3,5,1,4,1,10,4,30,0,50127.92969,87.62444305,,2,1,0,0,0,,,0
19573,225,4,7,3,0.57,625,845,3,6,1,2,1,10,9,0,0,31114.85156,62.23504639,,0,2,0,0,0,,,0
19573,268,6,9,2,0.67,700,776,3,9,0,4,2,8,9,15,0,27884.70313,61.95951462,,0,0,0,0,0,,,0
19573,425,6,8,0,0.75,600,952,3,4,0,6,0,7,3,37,35,45693.87891,81.06819153,,2,0,0,0,0,,,0
19574,66,22,28,7,0.79,3100,2937,3,20,8,15,7,14,12,0,0,86308.8125,183.4835968,13,0,,,,0,,,0
19574,225,20,28,4,0.71,2875,2445,4,23,5,15,5,21,16,38,0,92548,205.5575714,10,0,,,,0,,,0
19574,268,31,28,8,1.11,3900,3848,6,20,8,23,8,18,19,109,0,85977.28906,181.8434906,7,2,,,,0,,,0
19574,425,27,26,7,1.04,3150,3178,5,17,9,20,7,14,14,149,3,94237.72656,190.5557861,1,0,,,,0,,,0
19575,66,18,20,6,0.9,3165,2257,3,14,6,10,8,13,10,0,101,47929.26953,157.5548553,,0,,,,0,59,4,4
19575,225,19,24,4,0.79,3175,2318,3,20,4,14,5,15,11,0,102,60346.53125,193.7835236,,0,,,,0,51,1,5
19575,268,26,23,6,1.13,3740,3361,5,15,8,21,5,12,15,71,1,55735.05469,180.1517334,,1,,,,0,24,2,3
19575,425,23,20,5,1.15,4890,2497,5,16,4,13,10,11,9,169,2,50693.45313,154.5508423,,0,,,,0,139,9,2
19617,65,30,39,9,0.77,4490,3626,3,31,8,15,15,10,14,0,0,77777.59375,212.3096008,,0,,,,0,54,4,5
19617,264,20,22,8,0.91,3425,2759,3,16,7,14,6,9,10,0,0,60177.17188,156.3717651,,0,,,,0,70,4,2
19617,363,33,27,2,1.22,4940,3420,7,23,4,24,9,13,14,175,0,71339.85156,178.0207062,,0,,,,0,89,3,6
19617,517,22,23,10,0.96,4425,2498,4,14,9,17,5,3,7,57,44,61468.18359,151.9753876,,0,,,,0,95,5,6
19618,65,4,6,3,0.67,500,812,2,3,3,4,0,6,5,5,0,27150.60938,88.65792847,,0,0,0,0,0,,,0
19618,264,9,3,1,3,675,1129,6,3,0,5,1,8,7,0,0,22909.52734,68.25608826,,1,0,0,0,0,,,0
19618,363,8,5,1,1.6,625,724,4,5,0,5,1,5,5,30,0,21201.49023,59.23961258,,2,0,0,0,0,,,0
19618,517,10,5,1,2,1050,1138,6,2,0,7,2,7,4,0,0,26029.47852,75.53704071,,1,1,0,0,0,,,0
19619,65,22,31,13,0.71,3000,3056,4,20,11,15,7,15,15,86,12,108602.125,207.7396851,2,0,,,,0,,,0
19619,264,31,16,8,1.94,4025,3441,6,10,6,27,4,9,8,0,69,88504.66406,148.4604034,8,1,,,,0,,,0
19619,363,31,28,6,1.11,3675,3279,4,20,8,24,7,19,19,169,1,103980.5391,199.0068054,5,3,,,,0,,,0
19619,517,39,29,8,1.34,4350,4177,5,21,8,24,15,5,7,94,43,96334.80469,184.8802032,0,0,,,,0,,,0
19620,65,23,26,10,0.88,3545,2756,4,15,11,20,3,7,12,0,8,66177.3125,201.7618713,,0,,,,0,33,2,6
19620,264,13,20,13,0.65,3290,2314,2,15,5,10,3,14,15,0,74,66649.5,182.6071625,,0,,,,0,80,5,3
19620,363,28,19,5,1.47,3900,2711,8,17,2,24,4,14,11,97,0,62884.07422,177.3212433,,0,,,,0,45,7,6
19620,517,28,20,6,1.4,5090,3223,9,16,4,21,7,3,6,38,34,57456.11719,158.0371399,,1,,,,0,129,1,4
19617,66,30,24,9,1.25,4580,3458,5,15,9,27,3,10,12,0,30,53804.67188,137.1482086,,1,,,,0,73,1,8
19617,225,30,28,10,1.07,4655,3976,5,21,7,20,11,19,20,0,66,64084.17578,172.904068,,0,,,,0,64,10,8
19617,268,19,29,14,0.66,3835,2647,3,18,11,13,6,16,22,73,59,52593.15234,153.8524323,,0,,,,0,91,4,4
