team_id,home_team_name,home_team_abbv,away_team_id,away_team_name,away_team_abbv,match_id,match_play_time,match_created_at,home_team_games_won,away_team_games_won,winner_team_id,loser_team_id,match_map_id,match_map,map_mode,host_Score,guest_score,winning_team_id,losing_team_id,player_id,first_name,last_name,alias,game_map,game_mode,stats_player_id,average_speed,highest_streak,untraded_deaths,traded_deaths,tacticals_used,lethals_used,dead_silence_time,total_kills,total_deaths,total_assists,total_score,untraded_kills,traded_kills,damage_dealt,friendly_damage,distance_traveled,control_tiers_captured,bombs_planted,bombs_defused,sneak_defuses,hp_hill_time,hp_hill_time_contested,aces,first_blood_kills,rotation_kills,kill_death_ratio
,,,,,,,,,,,,,19568,Breenbergh Hotel,CDL SnD,3,6,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,19569,El Asilo,CDL Control,1,3,17,13,50,Matthew,Tinsley,KiSMET,Mercado Las Almas,CDL Hardpoint,50,189.0212708,5,14,6,11,9,0,17,20,9,3910,11,6,2388,21,59966.95703,,,,,117,15,0,0,3,0.85
,,,,,,,,,,,,,19570,Breenbergh Hotel,CDL Hardpoint,185,250,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,19571,Embassy,CDL SnD,,,,,120,Cesar,Bueno,Skyz,Mercado Las Almas,CDL Hardpoint,120,192.1176605,3,10,6,17,13,0,17,16,7,3175,14,3,2017,58,61432.29688,,,,,71,8,0,0,1,1.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,262,Paco,Rusiewiez,Hydra,Mercado Las Almas,CDL Hardpoint,262,199.8625793,3,16,6,9,8,104,26,22,9,4505,15,11,2842,0,62699.23047,,,,,73,3,0,1,4,1.18
,,,,,,,,,,,,,,,,,,,,65,Tobias Juul,Jønsson,CleanX,Breenbergh Hotel,CDL SnD,39,79.29176331,1,7,1,9,5,40,3,8,1,325,3,0,587,0,42683.53125,,0,0,0,,,0,1,0,0.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,264,Jamie,Craven,Insight,Breenbergh Hotel,CDL SnD,50,108.6973953,5,2,2,4,2,95,8,6,2,775,6,1,1089,2,60273.15625,,0,0,0,,,0,1,0,1.33
,,,,,,,,,,,,,,,,,,,,363,Eli,Bentz,Standy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
